City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,talnakh,69.4865,88.3972,-21.0,98,100,5.02,RU,1704694260
35,puerto ayora,-0.7393,-90.3518,24.75,96,100,2.24,EC,1704694261
36,shenjiamen,29.9576,122.298,10.21,66,100,5.23,CN,1704694262
37,juan de herrera,18.874,-71.2383,19.2,84,4,1.06,DO,1704694262
38,brisas de zicatela,15.8369,-97.0419,24.76,76,2,2.1,MX,1704694263
39,thompson,55.7435,-97.8558,-32.95,100,16,1.49,CA,1704694264
40,severo-yeniseyskiy,60.3725,93.0408,-22.46,97,68,1.79,RU,1704694265
41,bethel,41.3712,-73.414,1.2,77,100,2.06,US,1704694188
42,port-aux-francais,-49.35,70.2167,8.14,93,73,16.61,TF,1704694266
43,stanley,54.868,-1.6985,2.65,96,75,0.51,GB,1704694267
44,posto fiscal rolim de moura,-13.0833,-62.2667,23.34,92,76,1.22,BR,1704694036
45,whitehorse,60.7161,-135.0538,-16.06,75,98,1.79,CA,1704694209
46,montereau-fault-yonne,48.3833,2.95,-0.29,76,100,6.26,FR,1704694269
47,baie-comeau,49.2168,-68.1489,-11.18,67,75,3.09,CA,1704694269
48,sinop,41.7711,34.8709,6.24,79,97,5.63,TR,1704694270
49,toliara,-23.35,43.6667,29.39,66,12,1.75,MG,1704694271
50,sikasso,10.9167,-7.0,22.41,21,51,2.43,ML,1704694272
51,presidente medici,-11.1753,-61.9014,22.79,94,84,1.41,BR,1704694272
52,hithadhoo,-0.6,73.0833,28.08,77,69,5.32,MV,1704694273
53,tiksi,71.6872,128.8694,-33.85,96,44,3.4,RU,1704694274
54,chonchi,-42.6128,-73.8092,7.84,91,26,0.9,CL,1704694274
55,igede-ekiti,7.6668,5.132,19.23,66,0,0.33,NG,1704694275
56,maloye ganyushkino,46.6,49.2667,-2.59,51,100,6.7,KZ,1704694276
57,koungou,-12.7336,45.2042,28.84,84,75,4.12,YT,1704694277
58,ribeira grande,38.5167,-28.7,15.99,69,87,4.92,PT,1704694278
59,allendale,42.9723,-85.9537,2.31,85,100,2.12,US,1704694280
60,markovo,57.3206,107.0881,-18.28,93,78,1.71,RU,1704694281
61,invercargill,-46.4,168.35,18.9,68,80,2.68,NZ,1704694282
62,bechar,31.6167,-2.2167,7.13,34,0,1.61,DZ,1704694136
63,malvan,16.0667,73.4667,30.93,41,14,1.71,IN,1704694283
64,sisimiut,66.9395,-53.6735,-9.56,82,100,4.93,GL,1704694284
65,cidreira,-30.1811,-50.2056,21.95,92,60,2.57,BR,1704694285
66,buala,-8.145,159.5921,27.7,84,96,1.57,SB,1704694285
67,kavaratti,10.5669,72.642,27.99,74,97,3.28,IN,1704694286
68,carnarvon,-24.8667,113.6333,26.3,68,2,7.17,AU,1704694287
69,mount pearl,47.5166,-52.7813,-5.48,85,44,2.24,CA,1704694287
70,port pirie,-33.1833,138.0167,23.29,58,10,7.31,AU,1704694288
71,karratha,-20.7377,116.8463,40.12,22,0,7.37,AU,1704694289
72,blackmans bay,-43.0167,147.3167,16.52,76,100,1.34,AU,1704694290
73,bilibino,68.0546,166.4372,-29.45,98,100,1.08,RU,1704694290
74,berlin,52.5244,13.4105,-6.49,72,0,6.26,DE,1704693608
75,boulder,40.0833,-105.3505,-5.27,64,100,0.45,US,1704694292
76,pasni,25.2631,63.471,22.96,33,3,9.64,PK,1704694293
77,atafu village,-8.5421,-172.5159,28.7,72,99,1.51,TK,1704694294
78,ilulissat,69.2167,-51.1,-7.99,73,100,8.75,GL,1704694295
79,howrah,22.5892,88.3103,21.0,73,2,3.09,IN,1704694296
